decir, to say
hacer, to do/make
comer, to eat
tomar, to drink
ir, to go
ordinar, to order
pagar, to pay
esperar, to wait
qiero, I want
me gustaria, I would like
la taza, cup
el vasel, glass
la botella, bottle
el boleto, ticket
el pan, bread
la tienda, store
lo siento, sorry
enfermo, sick
nadar, to swim
la natación, swimming
bailar, dance
comprar, to buy
viajar, to travel
tengo que, I have to
el tiene que, he has to
saber, to know
conocer, to be acquinted
aprender, to learn
regresar, to go back
venir, to come
calentar, to heat
caluroso, hot
picante, spicy hot
frio, cold
algo, something
tratar, to try
probar, to taste
cocinar, to cook
la comida, food
por ejemplo, for example
despacio, slowly
tambien, too
necesito, I must
prefiero, I prefer
la quenta, check
visitar, to visit
el padre, father
la madre, mother
el arenal, sandy area
lentes de sol, sunglasses
el/la veraneante, vacationer
el protector solar, sunscreen
el salvavidas, life jacket
rallador de queso, cheese grater
la carrera, race
el bronceado, tan
playero, beach
el ventilador, fan
la orilla, shore
bucear, to scuba dive
el muelle, pier
el verano, summer
el reposo, rest
el vecindario, neighborhood
tararear, to hum
el videojuego, video game
martillar, to hammer
el/la sabelotodo, know-it-all
el cardumen, shoal
la cabaña, cabin
textear, to text
el cantautor, singer-songwriter
mascar, to chew
el jaque mate, checkmate
el enfermero, nurse
el tomacorriente, socket
la mamá, mom
la cafetera, coffee maker
aprender, to learn
el alumno, student
dar clases, to teach
el maestro, teacher
el colegio, school
el alfarero, potter
acuñar, to mint
el sindicato, labor union
el guepardo, cheetah
el saneamiento, clean-up
montañoso, mountainous
el caudal, flow
el recurso natural, natural resource
la bahía, bay
salvaje, wild
el escritor, writer
el medioambiente, environment
costero, coastal
el ahorro, saving
la supervivencia, survival
desechable, disposable
el caucho, rubber
protegido, protected
el combustible, fuel
malgastar, to waste
energético, energy
reciclar, to recycle
la nutria, otter
ambiental, environmental
el ejercicio, exercise
el aire puro, fresh air
el clima, climate
pescar, to fish
la agua dulce, freshwater
renovable, renewable
la broma, joke
el aderezo, dressing
el cirujano, surgeon
la almendra, almond
la pantorrilla, calf
el atardecer, dusk
la maceta, flowerpot
el frescor, coolness
derretirse, to melt
la naturaleza, nature
floreciente, blooming
el gorjeo, chirping
la felicidad, happiness
la alergia, allergy
el polluelo, chick
la suerte, luck
el irlandés, Irish
dulces sueños, sweet dreams
la subasta, auction
presagiar, to foretell
el escarabajo, beetle
rezongar, to grumble
fangoso, muddy
soplar, to blow
el champiñón, mushroom
la jardinería, gardening
en peligro de extinción, endangered
tuitear, to tweet
la mantequilla de maní, peanut butter
el año bisiesto, leap year
la amistad, friendship
la cacatúa, cockatoo
empacar, to pack
la carroza, float
el festejo, party
carnavalesco, carnival
la lengua materna, mother tongue
el chaparrón, downpour
la serenata, serenade
Plutón, Pluto
anhelar, to long
titilar, to twinkle
diurno, daytime
el amor a primera vista, love at first sight
el noviazgo, engagement
el arete, earring
el oso de peluche, teddy bear
empacar, to pack
el galardón, award
el elenco, cast
el cortometraje, short film
la taquilla, box office
el documental, documentary
taclear, to tackle
vespertino, evening
despacio, slowly
mas lento, slower
desde cuando, since when
desde hace 2 horas, since 2 hours ago
inmediato, immediate
aqui tiene, here you go
cansado, tired
encontrar, to find
la fiebre, fever
dificil, difficult
en frente de, in front of
la oficina, office
oficina de turismo, tourist office
vivir, to live
nosotros/as, we
la cena, dinner
mandar, to send
dar, to give
ver, to see
he, i have
ha, he has
me lo, to me
te lo, to you
se lo, to him
el somier, bed base
la máscara, mask
la murga, band of street musicians
tarjeta de credito, credit card
el boleto, ticket
hoy, today
el desayuno, breakfast
el almuerzo, lunch
vaso, glass
necesito, I need
la diferencia, difference
el cuchillo, knife
el tenedor, fork
la cuchara, spoon
el mercado, market
repetir, repeat
el verano, summer
la primavera, spring
el otońo, fall
el invierno, winter
todavía or aún, still (adv)
esperar, to wait
el pan, bread
la respuesta, response
dificíl, difficult
complicado, complicated
malo, bad (adj)
ordinar, to order
pronto, soon
el surtido, assortment
la coleccion, collection
le variadad, variety
la diversidad, diversity
la mezcla, mixture
la camada, litter
vacilar, to hesitate
el torneo, tournament
el puntaje, score
el vendaval, gale
el/la televidente, viewer
el entrenamiento, training
abanicar, to fan
la piscina, swimming pool
el/la deportisto/a, athlete
estupefacto, astonished
ameno, enjoyable
el escrutinio, count
el canotaje, canoeing
el abanderado, standard-bearer
la antorcha, torch
la esgrima, fencing
bostezar, to yawn
resplandenciente, shining
el gusarapo, bug
el cangrejo, crab
el bacalao, cod
pertinaz, obstinate
el tiburón, shark
el veraneo, summer vacation
veranear, spend the summer
la mandíbula, jaw
el acuario, aquarium
la nimiedad, little thing
la enmienda, amendment
el rompeolas, breakwater
refrescante, refreshing
la medusa, jellyfish
la jerga, jargon
el murciélago, bat
el árbitro, referee
el/la hincha, sports fan
la bandera, flag
la parrillada, barbecue
el petardo, firecracker
sofocante, suffocating
el sopor, drowsiness
el estro, inspiration
soleado, sunny
despotricar, to rant and rave
sigiloso, slealthy
la palmera, palm tree
echarse una siesta, to take a nap
el olivar, olive grove
el solsticio, solstice
el saltamontes, grasshopper
surfear, to surf
el diluvio, torrential rain
el ademán, gesture
la trucha, trout
la serendipia, serendipity
la misericordia, mercy
apapachar, to cuddle
escatimar, to skimp on
el arrebol, red glow
la sombrilla, parasol
neblinoso, misty
el conticinio, dead of night
la leguminosa, legume
verdoso, greenish
maduro, ripe
el abanico, fan
mochilear, go backpacking
arenoso, sandy
la piragua, canoe
ignoto, unknown
irrisorio, laughable
la pluma, freather
la hecatombe, disaster
insolslayable, unavoidable
el manjar, delicacy
anonadado, stunned
sofreír, to saute
el patatús, fit/dizzy spell
la dádiva, gift
la brisa, breeze
la escaramuza, skirmish
la gárgola, gargoyle
el chapuzón, dip
jocoso, humorous
despejado, clear
el capricho, whim
empaparse, get soaked
la visera, bill
descapotable, convertible
multitudinario, mass
acérrimo, bitter
la toronja, grapefruit
la plancarta, placard
el arrecife, reef
templado, mild
el estrellato, stardom
pecoso, freckly
la foca, seal
la antárdida, antarctica
el alacrán, scorpion
pesquero, fishing
cabizbajo/a, downcast
el percebe, barnacle
la cosecha, harvest
estremecer, to shake
el cabildeo, lobbying
el arce, maple
el calabicín, zucchini
el tlacuache, opossum
el/la hispanohablante, spanish speaker
dubitativo, hesitant
el curul, seat (political)
el perejil, parsley
otoñal, fall
la maternidad, motherhood
tergiversar, to distort
despilfarrar, to squander
asolearse, sunbathe
somnoliento, drowsy
el estío, summer
aclimatarse, to acclimate
la telaraña, spiderweb
atribulado, distressed
famélico, starving
antiadherente, nonstick
el nácar, mother of pearl
el oleaje, swell (wave)
concienzudamente, conscientiously
el obsequio, gift
el balneario, spa
el lienzo, canvas
agreste, rough
desapacible, unpleasant
la buenaventura, good fortune
el maracuyá, passion fruit
afanoso, hard (work)
el sendero, path
acuadalado, wealthy
encarar, to comfort
el cascarón, shell
abrasador, burning
homenajear, to pay tribute
el escozor, stinging
el garabato, scribble
atracar, to rob
efímero, ephemeral
el prócer, hero
enclenque, sticky
el amanecer, dawn
diezmar, decimate
el hazmerreír, laughing stock
divagar, to digress
la llovizna, drizzle
presuroso, quick
la colmena, beehive
el ciempiés, centipede
el enjambre, swarm
el ruiseñor, nightingale
la polinización, pollination
la golondrina, swallow
vanagloriarse, to boast
el chismorreo, gossip
la cigarra, cicada
desenmascarar, to unmask
el tentempié, snack
el petorrijo, robin
la orquídea, orchid
carmesí, crimson
el arroyo, stream
la superpotencia, superpower
el despelote, mess
el nido, nest
la manantial, spring (water)
el verdor, greenness
la amapola, poppy
la atalaya, watchtower
resaber, to know well
frondoso, lush
la serpentina, streamer
el/la parce, dude
el cambur, banana
la mijita, a bit
buco, a lot
el pochocle, popcorn
chambear, to work
cocobolo, bald
el popote, straw
la recocha, fun
el chamo, kid
tallar, to carve
fantasmal, ghostly
la escoba, broom
el mármol, marble
la canela, cinnamon
el caldero, cauldron
la gula, gluttony
las sobras, leftovers
la garganta, throat
la frazada, blanket
el mapache, raccoon
el granero, barn
invernar, hibernate
la mermelada, jam
acaparar, to stockpile
la luna llena, full moon
el huerto, orchard
brindar, to toast
el aperitivo, appetizer
cacarear, to cluck
adobar, to marinate
reconfortante, comforting
el huerto, orchard
el agradecimiento, gratitude
recalcar, to stress
la reliquia, relic
el oso polar, polar bear
el estofado, stew
la calefacción, heating
el piolet, ice axe
resbalarse, to slip
bajo cero, belo zero
abrigarse, to wrap yourself up
el año nuevo, new year
el reloj de arena, hourglass
la escarcha, frost
palear, to shovel
la nevasca, snowstorm
el copo de nieve, snowflake
tiritar, to shiver
congelado, frozen
el festín, feast
la víspera, eve
adornar, to decorate
la caridad, charity
el palvorón, shrotbread cookie
regocijarse, to rejoice
la pandereta, tambourine
el pastor, shepherd
el cascabel, bell
la bufanda, scarf
estornudar, to sneeze
el edredón, comforter
al abeto, fir
intercambiar, to exchange
a gusto, comfortable
el carámbano, icicle
nevado, snowy
el crucigrama, crossword
trinchar, to carve
la chaqueta, jacket
avinagrado, sour
el cerezo, cherry tree
soñoliento, sleepy
el/la comensal, dinner guest
el disfraz, constume
oscurecer, to darken
el patín, skate
derecho civil, civil right
la pantufla, slipper
tejer, to knit
yermo, uninhabited
caldear, to heat
el cobijo, shelter
el invernadero, greenhouse
